AnalysisRecord,PassageAnalyzed,QuotedString,Analysis,ReusedText
urn:cite:hmt:reuse.18_19_124,urn:cts:greekLit:tlg5026.msA.hmt:18.42,"νῦν δ' εἰμ' ὄφρα φίλης κεφαλῆς",,
urn:cite:hmt:reuse.18_19_125,urn:cts:greekLit:tlg5026.msA.hmt:18.42,"αμείνονές εἰσὶ καὶ ἄλλοι",,
urn:cite:hmt:reuse.18_19_126,urn:cts:greekLit:tlg5026.msA.hmt:18.42,"ὡς ἐρις ἔκ τε θέωνθεῶν",,
urn:cite:hmt:reuse.18_19_127,urn:cts:greekLit:tlg5026.msA.hmt:18.42,"νῦν δ' ἐπεὶ οὐ νέομαι",,
urn:cite:hmt:reuse.18_19_128,urn:cts:greekLit:tlg5026.msA.hmt:18.42,"νῦν δ' εῖμ' ὄφρα φίλης κεφαλῆς",,
urn:cite:hmt:reuse.18_19_129,urn:cts:greekLit:tlg5026.msA.hmt:18.44,"καὶ χόλος",,
urn:cite:hmt:reuse.18_19_130,urn:cts:greekLit:tlg5026.msA.hmt:18.54,"χάλκεα",,
urn:cite:hmt:reuse.18_19_131,urn:cts:greekLit:tlg5026.msA.hmt:18.54,"ἐτήτυμον",,
urn:cite:hmt:reuse.18_19_132,urn:cts:greekLit:tlg5026.msA.hmt:18.54,"ἐστί",,
urn:cite:hmt:reuse.18_19_133,urn:cts:greekLit:tlg5026.msA.hmt:18.54,"ἐτήτυμον",,
urn:cite:hmt:reuse.18_19_134,urn:cts:greekLit:tlg5026.msA.hmt:18.54,"κακόν",,
urn:cite:hmt:reuse.18_19_135,urn:cts:greekLit:tlg5026.msA.hmt:18.54,"ἐτήτυμον",,
urn:cite:hmt:reuse.18_19_136,urn:cts:greekLit:tlg5026.msA.hmt:18.57,"ἀγορεῦσαι",,
urn:cite:hmt:reuse.18_19_137,urn:cts:greekLit:tlg5026.msA.hmt:18.60,"Ἕκτωρ τὲ Πριάμοιοσὺῒ ΐκελος ἀλκὴνἀλκήν, ὅς μιν τρὶς μετόπισθε ποδῶν λάβε καὶ μέγ' ἀϋτει ἐλκέμεναι μεμαώς κεφαλὴν δέ ἑ θυμὸς ἀνώγει πῆξαι ἀνα σκόλοπας οἳ τάμονθ' ἁπαλῆς ἀπο δειρῆς",,
urn:cite:hmt:reuse.18_19_138,urn:cts:greekLit:tlg5026.msA.hmt:18.61,"μέγα ἀχεων",,
urn:cite:hmt:reuse.18_19_139,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"τίθεσθαι",,
urn:cite:hmt:reuse.18_19_140,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"δίημι",,
urn:cite:hmt:reuse.18_19_141,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"δίεσαν",,
urn:cite:hmt:reuse.18_19_142,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"ἐτίθεσαν",,
urn:cite:hmt:reuse.18_19_143,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"δίενται",,
urn:cite:hmt:reuse.18_19_144,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"τίθενται",,
urn:cite:hmt:reuse.18_19_145,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"τίθεσθαι",,
urn:cite:hmt:reuse.18_19_146,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"δίενται",,
urn:cite:hmt:reuse.18_19_147,urn:cts:greekLit:tlg5026.msA.hmt:18.62,"δίεσθαι",,
urn:cite:hmt:reuse.18_19_148,urn:cts:greekLit:tlg5026.msA.hmt:18.63,"Πατρόκλου ἐπάμυνον",,
urn:cite:hmt:reuse.18_19_149,urn:cts:greekLit:tlg5026.msA.hmt:18.63,"περι",,
urn:cite:hmt:reuse.18_19_150,urn:cts:greekLit:tlg5026.msA.hmt:18.63,"περὶ Πατροκλου",,
urn:cite:hmt:reuse.18_19_151,urn:cts:greekLit:tlg5026.msA.hmt:18.64,"Ἴ̈λιον αἰπὺ θέλοντες·",,
urn:cite:hmt:reuse.18_19_152,urn:cts:greekLit:tlg5026.msA.hmt:18.64,"ελκέμεναι μέμονεν",,
urn:cite:hmt:reuse.18_19_153,urn:cts:greekLit:tlg5026.msA.hmt:18.64,"πῆξαι ἀνα σκολότεσσιν",,
urn:cite:hmt:reuse.18_19_154,urn:cts:greekLit:tlg5026.msA.hmt:18.66,"τίς τάρ σε",,
urn:cite:hmt:reuse.18_19_155,urn:cts:greekLit:tlg5026.msA.hmt:18.70,"αυτὸς",,
